,ICICI_Close,Nifty_Close,BankNifty_Close,Gold_Close,USD_INR,Bond_10Y,Bond_5Y,US_10Y,US_5Y,FII_Net,DII_Net,CPI_Index,WPI_Index,Trade_Balance_Billion_USD,Repo_Rate_%,CRR_%,Real_GDP_YoY_Growth_%,Net Profit (₹ Cr),NII (₹ Cr)
2023-06-06,919.3394165039062,18599.0,44164.55078125,1965.5,82.61,6.977,6.908,3.6989998817443848,3.8559999465942383,3040.46,-839.45,150.2801,136.303904538932,-19.53362,6.75,4.5,3.83865932351819,5511.0,11690.0
2023-06-07,917.4853515625,18726.400390625,44275.30078125,1942.699951171875,82.5,6.982,6.92,3.7839999198913574,3.9189999103546143,3040.46,-839.45,150.2801,136.303904538932,-19.53362,6.75,4.5,3.83865932351819,5511.0,11690.0
2023-06-08,915.2409057617188,18634.55078125,43995.25,1963.5999755859375,82.57,7.021,6.972,3.71399998664856,3.8559999465942383,3040.46,-839.45,150.2801,136.303904538932,-19.53362,6.75,4.5,3.83865932351819,5511.0,11690.0
2023-06-09,915.3872680664062,18563.400390625,43989.0,1962.199951171875,82.46,7.039,6.976,3.744999885559082,3.9200000762939458,3040.46,-839.45,150.2801,136.303904538932,-19.53362,6.75,4.5,3.83865932351819,5511.0,11690.0
2023-06-12,913.3380126953124,18601.5,43944.19921875,1955.300048828125,82.43,7.016,6.948,3.765000104904175,3.9170000553131104,3040.46,-839.45,150.2801,136.303904538932,-19.53362,6.75,4.5,3.83865932351819,5511.0,11690.0
2023-06-13,920.75439453125,18716.150390625,44079.8515625,1944.5999755859375,82.38,7.002,6.94,3.83899998664856,4.020999908447266,3040.46,-839.45,150.2801,136.303904538932,-19.53362,6.75,4.5,3.83865932351819,5511.0,11690.0
2023-06-14,917.094970703125,18755.900390625,43988.0,1955.300048828125,82.1,7.011,6.961,3.7960000038146977,4.008999824523926,3040.46,-839.45,150.2801,136.303904538932,-19.53362,6.75,4.5,3.83865932351819,5511.0,11690.0
2023-06-15,904.2138671875,18688.099609375,43443.6015625,1957.800048828125,82.18,7.036,6.984,3.7279999256134033,3.924000024795532,3040.46,-839.45,150.2801,136.303904538932,-19.53362,6.75,4.5,3.83865932351819,5511.0,11690.0
2023-06-16,911.6303100585938,18826.0,43938.1484375,1958.4000244140625,81.89,7.034,6.968,3.7690000534057617,3.992000102996826,3040.46,-839.45,150.2801,136.303904538932,-19.53362,6.75,4.5,3.83865932351819,5511.0,11690.0
2023-06-19,900.8472900390624,18755.44921875,43633.75,1958.4000244140625,81.89,7.053,6.995,3.7690000534057617,3.992000102996826,3040.46,-839.45,150.2801,136.303904538932,-19.53362,6.75,4.5,3.83865932351819,5511.0,11690.0
2023-06-20,903.1892700195312,18816.69921875,43766.5,1935.5,82.11,7.059,6.994,3.7290000915527344,3.9600000381469727,3040.46,-839.45,150.2801,136.303904538932,-19.53362,6.75,4.5,3.83865932351819,5511.0,11690.0
2023-06-21,902.3598022460938,18856.849609375,43859.19921875,1933.300048828125,82.04,7.067,7.003,3.723000049591065,3.9549999237060542,3040.46,-839.45,150.2801,136.303904538932,-19.53362,6.75,4.5,3.83865932351819,5511.0,11690.0
2023-06-22,903.3844604492188,18771.25,43724.8515625,1912.699951171875,81.93,7.086,7.032,3.799000024795532,4.046000003814697,3040.46,-839.45,150.2801,136.303904538932,-19.53362,6.75,4.5,3.83865932351819,5511.0,11690.0
2023-06-23,901.1887817382812,18665.5,43622.8984375,1919.0999755859375,82.01,7.074,7.029,3.739000082015991,3.994999885559082,3040.46,-839.45,150.2801,136.303904538932,-19.53362,6.75,4.5,3.83865932351819,5511.0,11690.0
2023-06-26,905.0433349609376,18691.19921875,43641.05078125,1923.699951171875,82.0,7.066,7.02,3.7190001010894775,3.963000059127808,3040.46,-839.45,150.2801,136.303904538932,-19.53362,6.75,4.5,3.83865932351819,5511.0,11690.0
2023-06-27,913.484375,18817.400390625,44121.5,1914.0,81.98,7.063,7.014,3.76799988746643,4.033999919891357,3040.46,-839.45,150.2801,136.303904538932,-19.53362,6.75,4.5,3.83865932351819,5511.0,11690.0
2023-06-28,914.8017578125,18972.099609375,44327.80078125,1912.300048828125,82.0,7.056,7.016,3.7100000381469727,3.9719998836517334,3040.46,-839.45,150.2801,136.303904538932,-19.53362,6.75,4.5,3.83865932351819,5511.0,11690.0
2023-06-29,914.8017578125,18972.099609375,44327.80078125,1909.199951171875,82.05,7.056,7.016,3.8540000915527344,4.14300012588501,3040.46,-839.45,150.2801,136.303904538932,-19.53362,6.75,4.5,3.83865932351819,5511.0,11690.0
2023-06-30,912.0205688476562,19189.05078125,44747.3515625,1921.0999755859375,82.06,7.11,7.078,3.819000005722046,4.132999897003174,3040.46,-839.45,150.2801,136.303904538932,-19.53362,6.75,4.5,3.83865932351819,5511.0,11690.0
2023-07-03,919.7785034179688,19322.55078125,45158.1015625,1921.699951171875,81.96,7.117,7.085,3.8580000400543217,4.190999984741211,3040.46,-839.45,150.2801,136.303904538932,-19.53362,6.75,4.5,3.83865932351819,5511.0,11690.0
2023-07-04,921.8765869140624,19389.0,45301.44921875,1921.699951171875,81.96,7.119,7.09,3.8580000400543217,4.190999984741211,3040.46,-839.45,150.2801,136.303904538932,-19.53362,6.75,4.5,3.83865932351819,5511.0,11690.0
2023-07-05,934.8552856445312,19398.5,45151.80078125,1919.5999755859375,82.34,7.105,7.072,3.944999933242798,4.255000114440918,3040.46,-839.45,150.2801,136.303904538932,-19.53362,6.75,4.5,3.83865932351819,5511.0,11690.0
2023-07-06,936.2214965820312,19497.30078125,45339.8984375,1908.699951171875,82.49,7.147,7.107,4.040999889373779,4.366000175476074,3040.46,-839.45,150.2801,136.303904538932,-19.53362,6.75,4.5,3.83865932351819,5511.0,11690.0
2023-07-07,923.5355224609376,19331.80078125,44925.0,1926.199951171875,82.74,7.159,7.13,4.050000190734863,4.336999893188477,3040.46,-839.45,150.2801,136.303904538932,-19.53362,6.75,4.5,3.83865932351819,5511.0,11690.0
2023-07-10,925.4872436523438,19355.900390625,44860.8515625,1925.0,82.57,7.149,7.127,4.00600004196167,4.245999813079834,3040.46,-839.45,150.2801,136.303904538932,-19.53362,6.75,4.5,3.83865932351819,5511.0,11690.0
2023-07-11,922.1205444335938,19439.400390625,44745.05078125,1931.300048828125,82.39,7.095,7.077,3.9800000190734863,4.238999843597412,3040.46,-839.45,150.2801,136.303904538932,-19.53362,6.75,4.5,3.83865932351819,5511.0,11690.0
2023-07-12,921.5839233398438,19384.30078125,44639.44921875,1956.199951171875,82.03,7.118,7.107,3.861000061035156,4.070000171661377,3040.46,-839.45,150.2801,136.303904538932,-19.53362,6.75,4.5,3.83865932351819,5511.0,11690.0
2023-07-13,932.61083984375,19413.75,44665.05078125,1959.199951171875,82.04,7.071,7.055,3.760999917984009,3.934999942779541,3040.46,-839.45,150.2801,136.303904538932,-19.53362,6.75,4.5,3.83865932351819,5511.0,11690.0
2023-07-14,936.8557739257812,19564.5,44819.30078125,1960.0999755859375,82.16,7.089,7.068,3.819000005722046,4.031000137329102,3040.46,-839.45,150.2801,136.303904538932,-19.53362,6.75,4.5,3.83865932351819,5511.0,11690.0
2023-07-17,945.296875,19711.44921875,45449.75,1952.4000244140625,82.03,7.074,7.046,3.796999931335449,4.000999927520752,3040.46,-839.45,150.2801,136.303904538932,-19.53362,6.75,4.5,3.83865932351819,5511.0,11690.0
2023-07-18,951.8837280273438,19749.25,45410.8515625,1977.199951171875,82.03,7.058,7.02,3.7890000343322754,4.000999927520752,3040.46,-839.45,150.2801,136.303904538932,-19.53362,6.75,4.5,3.83865932351819,5511.0,11690.0
2023-07-19,949.9320068359376,19833.150390625,45669.30078125,1977.5,82.09,7.072,7.037,3.742000102996826,3.9719998836517334,3040.46,-839.45,150.2801,136.303904538932,-19.53362,6.75,4.5,3.83865932351819,5511.0,11690.0
2023-07-20,971.546875,19979.150390625,46186.8984375,1968.300048828125,81.99,7.083,7.059,3.8540000915527344,4.099999904632568,3040.46,-839.45,150.2801,136.303904538932,-19.53362,6.75,4.5,3.83865932351819,5511.0,11690.0
2023-07-21,972.9130249023438,19745.0,46075.19921875,1964.300048828125,81.99,7.087,7.076,3.836999893188477,4.0929999351501465,3040.46,-839.45,150.2801,136.303904538932,-19.53362,6.75,4.5,3.83865932351819,5511.0,11690.0
2023-07-24,968.0338134765624,19672.349609375,45923.05078125,1960.300048828125,81.81,7.071,7.057,3.85700011253357,4.126999855041504,3040.46,-839.45,150.2801,136.303904538932,-19.53362,6.75,4.5,3.83865932351819,5511.0,11690.0
